"vendor","bill","date","subtotal","gst","total"
"hogobie tech private limited","inv-25-26-000024","2025-04-07","5250.00","630.00","5880.00"
"amishka infotech","ai/25-26/3","2025-08-15","6307.00","1135.26","7442.26"
"baba balaknath",,"2025-06-20","15000.00","0.00","15000.00"
"cj darcl","d13906001774","2025-06-16","8248.30","1484.69","9733.00"
"cj darcl","di3906002678","2025-07-31","6944.90","1250.08","8195.00"
"cj darcl","di3906002781","2025-08-02","5738.98","1033.02","6772.00"
"cj darcl","di3927003859","2025-08-14","3767.80","678.20","4446.00"
"cj darcl","di3906003022","2025-08-14","1000.00","180.00","1180.00"
"cj darcl","di3906003415","2025-08-31","7820.34","1407.66","9228.00"
"cj darcl","di3906003724","2025-09-16","6200.75","1116.14","7317.00"
"cj darcl","di3906004947","2025-11-01","11252.00","2025.36","13277.00"
"cj darcl","di3906005291","2025-11-17","34419.49","6195.51","40615.00"
"cj darcl","di3906005711","2025-12-10","74262.00","13367.16","87629.00"
"kumar autowheels pvt ltd","rbr26a003122","2025-09-04","3332.00","0.00","3332.00"
"prime roadways","pr/25-26/22","2025-07-10","95028.00","11403.36","106431.00"
"shiptrust global logistics","25-26/del/003","2025-06-27","16760.17","3016.83","19777.00"
"shiptrust global logistics","25-26/del/004","2025-06-27","31917.80","5745.20","37663.00"
"srls cargo services pvt ltd","25-26/del/008","2025-04-28","6156.25","738.75","6895.00"
"srls cargo services pvt ltd","25-26/del/016","2025-05-27","1759.82","211.18","1971.00"
"singh roadlines","srl-rdr-26/27-001","2026-04-04","21990.00","0.00","21990.00"
"singh roadlines","srl-rdr-26/27-004","2026-04-06","8690.00","0.00","8690.00"
"cj darcl","di3906006353","2025-12-26","6300.00","1134.00","7434.00"
"cj darcl","di3903002299","2026-01-17","5931.36","1067.64","6999.00"
"cj darcl","di3906006897","2026-01-17","10272.88","1849.12","12122.00"
"cj darcl","di3906007176","2026-02-02","22964.41","4133.59","27098.00"
"cj darcl","di3906007573","2026-02-16","69827.12","12568.88","82396.00"
"cj darcl","di3906007977","2026-03-01","7652.54","1377.46","9030.00"
"btl express pvt ltd","btl/298","2026-02-28","26650.00","4797.00","31447.00"
"btl express pvt ltd","btl/317","2026-03-15","28710.00","5167.80","33878.00"
"btl express pvt ltd","btl/334","2026-03-31","62142.00","11185.56","73328.00"
"hogobie tech private limited","inv-25-26-000150","2025-04-30","9080.35","1089.64","10170.00"
"hogobie tech private limited","inv-25-26-000205","2025-05-16","7880.36","945.64","8826.00"
"hogobie tech private limited","inv-25-26-000261","2025-05-29","1580.36","189.64","1770.00"
"hogobie tech private limited","inv-25-26-000294","2025-05-31","4080.36","489.64","4570.00"
"hogobie tech private limited","inv-25-26-000300","2025-06-03","4080.36","489.64","4570.00"
"hogobie tech private limited","inv-25-26-000406","2025-06-30","23400.00","2808.00","26208.00"
"hogobie tech private limited","inv-25-26-000510","2025-07-22","80040.00","9604.80","89644.80"
"hogobie tech private limited","inv-25-26-000554","2025-07-31","11659.82","1399.18","13059.00"
"hogobie tech private limited","inv-25-26-000629","2025-08-21","46560.00","5587.20","52147.20"
"hogobie tech private limited","inv-25-26-000684","2025-08-31","16580.00","1989.60","18569.60"
"hogobie tech private limited","inv-25-26-000735","2025-09-20","8000.00","960.00","8960.00"
"hogobie tech private limited","inv-25-26-000782","2025-09-30","33660.00","6058.80","39718.80"
"hogobie tech private limited","inv-25-26-000895","2025-10-16","29080.00","5234.40","34314.40"
"hogobie tech private limited","inv-25-26-000957","2025-10-31","12240.00","2203.20","14443.20"
"hogobie tech private limited","inv-25-26-001005","2025-11-15","11660.00","2098.80","13758.80"
