"awb","date","mode","client","origin","destination","consignor","consignee","box","actual_wt","charge_wt","type_of_delivery","insured","remarks","clerk_name","status","frieght_charge","awb_charge","pickup_charge","delivery_charge","packaging_charge","handling_charge"
"203992","2026-01-05","Road","CJ DARCL LOGISTICS LIMITED","DELHI","PANTNAGAR","CJ DARCL LOGISTICS LIMITED","CJ DARCL LOGISTICS LIMITED","6","0.00","0.00","AUTO PARTS ","Owner",,"AKASH","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203989","2026-01-02","Road","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","40","0.00","40.00","AUTO PARTS","Owner",,"Dharmendra Puri","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203991","2026-01-03","Train","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","2","50.00","100.00","AUTO PARTS","Owner","MATERIAL DELIVERED","Dharmendra Puri","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204018","2026-01-13","Train","PANORAMA AUTOMOTIVE IND. PVT. LTD.","PUNE","PANTNAGAR","RK INDUSTRIES ","PANORAMA AUTOMOTIVE IND. PVT. LTD.","4","0.00","120.00","AUTO PARTS ","Owner","VS ENGENEERING/ RK INDUSTRIES ","Dharmendra Puri","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204002","2026-01-07","Train","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","16","0.00","335.00","AUTO PARTS ","Owner",,"Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204026","2026-01-14","Air","STARWAYS PRECISIONS PVT. LTD. ","PUNE","SITARGANJ","STARWAYS PRECISIONS PVT. LTD. ","STARWAYS INDUSTRIES (SI)","5","0.00","105.00","AUTO PARTS","Client",,"Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"204025","2026-01-14","Train","DALI SAMIR ENGG.PVT LTD-PUNE","PUNE","PANTNAGAR","SANSA AUTO ENGINEERING COMPANY - PUNE","DALI SAMIR ENGG.PVT LTD-PUNE","6","0.00","150.00","AUTO PARTS","Owner",,"AKASH","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203993","2026-01-05","Air","DALI SAMIR ENGG.PVT LTD-PUNE","PUNE","PANTNAGAR","PREMIER SEALS PVT LTD","DALI & SAMIR ENGG PVT LTD- PTN","1","0.00","50.00","AUTO PARTS","Owner",,"AKASH","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203994","2026-01-05","Air","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","24","0.00","960.00","AUTO PARTS","Owner",,"Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203995","2026-01-05","Road","CJ DARCL LOGISTICS LIMITED","PANTNAGAR","DELHI","CJ DARCL LOGISTICS LIMITED","CJ DARCL LOGISTICS LIMITED","40","0.00","0.00","AUTO PARTS","Owner",,"AKASH","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203996","2026-01-06","Train","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","5","0.00","120.00","AUTO PARTS","Owner",,"Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203997","2026-01-06","Air","STARWAYS INDUSTRIES- CHAKAN","PUNE","SITARGANJ","STARWAYS INDUSTRIES- CHAKAN","STARWAYS INDUSTRIES (SI)","1","0.00","50.00","AUTO PARTS","Owner",,"AKASH","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203998","2026-01-06","Air","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","24","0.00","960.00","AUTO PARTS","Owner",,"Admin","1","0.00","0.00","0.00","0.00","0.00","0.00"
"203999","2026-01-07","Road","SHREYA INDUSTRIES - PNQ","PUNE","PANTNAGAR","SHREYA INDUSTRIES - PNQ","SHREYA INDUSTRIES- PNT","24","0.00","24.00","AUTO PARTS","Owner",,"AKASH","1","0.00","0.00","0.00","0.00","0.00","0.00"
