awb,date,mode,client,origin,destination,consignor,consignee,box,actual_wt,charge_wt,type_of_delivery,insured,remarks,clerk_name,status,frieght_charge,awb_charge,pickup_charge,delivery_charge,packaging_charge,handling_charge
204031,16-01-2026,Air,MINDA WESTPORT TECHNOLOGIES LTD,MANESAR,RANJANGAON,MINDA WESTPORT TECHNOLOGIES LTD,FIAT INDIA AUTOMOBILES PRIVATE LTD.,30,208,208,AUTO PARTS,Owner,APROVED BY SURENDRA JEE,AKASH,0,12480,100,0,1500,0,0
204042,20-01-2026,Air,ADVIK HI TECH PVT. LTD. (PLANT-15),RUDRAPUR,PUNE,AANCHAL INDUSTRIES,ADVIK HI TECH PVT. LTD. (PLANT-15),1,0,0,AUTO PARTS,Owner,TO PAY,Admin,0,2500,0,0,0,0,0
204078,30-01-2026,Air,MINDA WESTPORT TECHNOLOGIES LTD,MANESAR,PUNE,MINDA WESTPORT TECHNOLOGIES LTD,TATA MOTORS LIMITED,71,405,405,AUTO PARTS,Owner,,Admin,0,0,0,0,0,0,0
204084,31-01-2026,Air,STARWAYS PRECISIONS PVT. LTD.,PUNE,SITARGANJ,STARWAYS PRECISIONS PVT. LTD.,STARWAYS INDUSTRIES (SI),1-Bag,0,50,Auto Parts,Owner,NA,Admin,0,0,0,0,0,0,0
204094,03-02-2026,Air,MINDA WESTPORT TECHNOLOGIES LTD,MANESAR,AHMEDABAD,MINDA WESTPORT TECHNOLOGIES LTD,TATA MOTORS LIMITED,26,83,100,AUTO PARTS,Owner,,Admin,0,0,0,0,0,0,0
204129,10-02-2026,Air,MINDA WESTPORT TECHNOLOGIES LTD,MANESAR,AHMEDABAD,MINDA WESTPORT TECHNOLOGIES LTD,TATA MOTORS LIMITED,25,175,175,AUTOPARTS,Owner,,Admin,0,0,0,0,0,0,0
204141,13-02-2026,Air,MINDA WESTPORT TECHNOLOGIES LTD,MANESAR,PUNE,MINDA WESTPORT TECHNOLOGIES LTD,TATA MOTORS LIMITED,91,493,493,AUTO PARTS,Owner,,Admin,0,0,0,0,0,0,0
204143,14-02-2026,Air,MINDA WESTPORT TECHNOLOGIES LTD,MANESAR,PUNE,MINDA WESTPORT TECHNOLOGIES LTD,TATA MOTORS LIMITED,132,0,0,AUTO PARTS,Owner,,Admin,0,0,0,0,0,0,0
204165,19-02-2026,Train,UNITED BIOCEUTICALS PVT LTD,INDORE,HARIDWAR,PANCHSTEEL ORGANICS LIMITED,UNITED BIOCEUTICALS PVT LTD,4,0,100,AUTO PARTS,Owner,TO PAY CONSIGNMENT,Admin,0,2200,100,1000,1500,0,0
204290,19-03-2026,Air,MANTRI METALLICS PVT LTD- PTN,PUNE,PANTNAGAR,SUJAN CONTITECH AVS PVT LTD,MANTRI METALLICS PVT LTD- PTN,1-Box,0,0,Auto Parts,Owner,NA,SANJIT,0,0,0,0,0,0,0
