Trip no,Vendor name,Created at,Client name,Origin,Destination,Freight,Status,Remarks,Detail date,Handover to,Vehicle no,From,To,Mode,Amount,Status
VND-001,SACHIN,01-08-2026,RUPKANT INDUSTRIES,PUNE,SITARGANJ,0,Pending,BY AIR,01.08.2026,NA,MH12LT6492,HADAPSAR,AIRPORT,TRAIN,0,Pending
VND-002,SACHIN,01-08-2026,STARWAYS PRECISIONS PVT. LTD.,PUNE,SITARGANJ,0,Pending,,01.08.2026,NA,MH12WR1911,MAHALUNGE,TALWADE,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,TALWADE,AIRPORT,AIR,0,Pending
VND-003,SELF,01-08-2026,DHANANJAY AUTO CRAFT PVT.LTD. - I,AURANGABAD,PANTNAGAR,0,Pending,,01.08.2026,NA,-,AURANGABAD,AIRPORT,AIR,0,Pending
,,,BADVE AUTOCOMPS PVT LTD 1K,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
VND-004,SACHIN,02-08-2026,NIGS INDIA EDGE PRIVATE LIMITED,PUNE,PANTNAGAR,0,Pending,,02.08.2026,NA,MH12WR1911,NANEKARWADI,MAHALUNGE,AIR,0,Pending
,,,BADVE AUTOCOMPS PVT LTD-II,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
VND-005,SACHIN,02-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,02.08.2026,NA,MH11BL6889,CHINCHWAD,STATION,TRAIN,0,Pending
VND-006,SACHIN,02-08-2026,CRD COMPONENTS,PUNE,CHENNAI,0,Pending,PICK INPREMOLC PUNE PLANT,02.08.2026,NA,-,NARHE,AIRPORT,AIR,0,Pending
VND-007,SELF,02-08-2026,PJ AUTOMATION SOLUTIONS,PUNE,PANTNAGAR,0,Pending,,02.08.2026,NA,-,TALWADE,AIRPORT,AIR,0,Pending
VND-008,SACHIN,03-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,03.08.2026,NA,MH12WR1911,CHINCHWAD,AIRPORT,AIR,0,Pending
VND-009,SACHIN,03-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,03.08.2026,NA,MH12WR1911,CHINCHWAD,CHAKAN,AIR,0,Pending
,,,STARWAYS INDUSTRIES-CHAKAN,,SITARGANJ,0,Pending,,,,,CHAKAN,MAHALUNGE,AIR,0,Pending
,,,STARWAYS PRECISIONS PVT. LTD.,,SITARGANJ,0,Pending,,,,,MAHALUNGE,TALWADE,AIR,0,Pending
,,,,,SITARGANJ,0,Pending,,,,,,,TRAIN,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,TALWADE,CHINCHWAD,AIR,0,Pending
,,,SANSA AUTO ENGINEERING COMPANY - PUNE,,PANTNAGAR,0,Pending,,,,,CHINCHWAD,AIRPORT/STATION,AIR,0,Pending
VND-010,SHEIKH,03-08-2026,BADVE AUTOCOMPS PVT LTD-II,PUNE,PANTNAGAR,0,Pending,SINGLE INVOICE TWO POINT PICK-UP,03.08.2026,NA,MH14LL1098,NIGADI,NANEKARWADI,AIR,0,Pending
,,,BADVE AUTOCOMPS PVT LTD-II,,PANTNAGAR,0,Pending,,,,,NANEKARWADI,AIRPORT,AIR,0,Pending
VND-011,SEIKH,04-08-2026,MINDA WESTPORT TECHNOLOGIES LIMITED,GURGAON,PUNE,0,Pending,DELIVERY,04.08.2026,NA,-,AIRPORT,RANJANGAON,AIR,0,Pending
VND-012,SACHIN,04-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,04.08.2026,NA,MH12WR1911,CHINCHWAD,DEHU,TRAIN,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,AIRPORT/STATION,,AIR,0,Pending
VND-013,SACHIN,04-08-2026,NIGS INDIA EDGE PRIVATE LIMITED,PUNE,PANTNAGAR,0,Pending,,04.08.2026,NA,MH12LT6492,NANEKARWADI,AIRPORT,AIR,0,Pending
VND-014,SELF,04-08-2026,MD INDUSTRIES,NASHIK,PANTNAGAR,0,Pending,,04.08.2026,NA,-,NASHIK,AIRPORT,AIR,0,Pending
VND-015,SELF,04-08-2026,BADVE AUTOCOMPS PVT LTD 1K,AURANGABAD,PANTNAGAR,0,Pending,,04.08.2026,NA,-,AURANGABAD,AIRPORT,AIR,0,Pending
VND-016,SACHIN,05-08-2026,POLE STAR AUTO,PUNE,PANTNAGAR,0,Pending,,05.08.2026,NA,MH12LT6492,HADAPSAR,STATION,TRAIN,0,Pending
VND-017,SACHIN,05-08-2026,BADVE AUTOCOMPS PVT LDTII,PUNE,PANTNAGAR,0,Pending,,05.08.2026,NA,MH12WR1911,NANEKARWADI,TALWADE,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,TALWADE,CHINCHWAD,AIR,0,Pending
,,,SANSA AUTO ENGINEERING COMPANY - PUNE,,PANTNAGAR,0,Pending,,,,,CHINCHWAD,AIRPORT/STATION,AIR,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
VND-018,SACHIN,05-08-2026,AMEYA INDUSTRIES,PUNE,-,0,Pending,EMPTY VECHILE REUTERN,05.08.2026,NA,MH11BL6889,NIGOJE,NANEKARWADI,-,0,Pending
,,,BADVE AUTOCOMPS PVT LTD-II,,PANTNAGAR,0,Pending,,,,,NANEKARWADI,NIGOJE,AIR,0,Pending
,,,AMEYA INDUSTRIES,,PANTNAGAR,0,Pending,,,,,NIGOJE,AIRPORT,AIR,0,Pending
VND-019,SELF,05-08-2026,BADVE AUTOCOMPS PVT LTD 1K,AURANGABAD,PANTNAGAR,0,Pending,,05.08.2026,NA,-,AURANGABAD,AIRPORT,AIR,0,Pending
,,,MAHAVIR ENGINEERING WORKS,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
VND-020,SELF,06-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,MCPL,06.08.2026,NA,-,SING ROADLINES,GODOWN,TRAIN,0,Pending
VND-021,SACHIN,06-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,06.08.2026,NA,MH12LT6492,DEHU,TALWADE,ROAD,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,TALWADE,SING ROADLINES,ROAD,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,,,AIR,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,SING ROADLINES,CHINCHWAD,ROAD,0,Pending
,,,,,PANTNAGAR,0,Pending,,,,,,,ROAD,0,Pending
,,,DALI SAMIR ENGG.PVT LTD-PUNE,,PANTNAGAR,0,Pending,,,,,CHINCHWAD,MAHALUNGE,TRAIN,0,Pending
,,,BADVE AUTOCOMPS PVT LTD-II,,PANTNAGAR,0,Pending,,,,,MAHALUNGE,GODOWN,AIR,0,Pending
,,,SANSA AUTO ENGINEERING COMPANY - PUNE,,PANTNAGAR,0,Pending,,,,,GODOWN,AIRPORT/STATION,TRAIN,0,Pending
VND-022,SACHIN,07-08-2026,PJ AUTOMATION SOLUTION,PUNE,PANTNAGAR,0,Pending,,07.08.2026,NA,MH12LT6492,TALWADE,AIRPORT,AIR,0,Pending
VND-023,SHEIKH,07-08-2026,ATHARVA FOUNDRIES PVT. LTD.,PUNE,PANTNAGAR,0,Pending,PICK-UP IN DHIMESH COMPANY,07.08.2026,NA,MH14GD9306,AALANDI PHATA,STATION,TRAIN,0,Pending
VND-024,LEKHRAJ,07-08-2026,ASHA INDUSTRIES,AURANGABAD,PANTNAGAR,0,Pending,,07.08.2026,NA,-,AURANGABAD,AALANDI PHATA,TRAIN,0,Pending
VND-025,SACHIN,07-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,07.08.2026,NA,MH12WR1911,CHINCHWAD,DEHU,TRAIN,0,Pending
,,,U.S. AUTO CONTROLS PVT LTD,,PANTNAGAR,0,Pending,,,,,DEHU,TALWADE,AIR,0,Pending
,,,PJ AUTOMATION SOLUTION,,PANTNAGAR,0,Pending,,,NA,,TALWADE,AIRPORT/STATION,AIR,0,Pending
VND-027,SKY4,08-08-2026,ASHA INDUSTRIES,AURANGABAD,PANTNAGAR,0,Pending,,08.08.2026,NA,-,AALANDI PHATA,GODOWN,TRAIN,0,Pending
VND-028,SACHIN,08-08-2026,SHRI RAM INDUSTRIES,ROHTAK,PUNE,0,Pending,DELIVERY IN U.S. AUTO DEHU PLANT,08.08.2026,NA,MH12WR1911,AIRORT,DEHU,AIR,0,Pending
VND-029,SACHIN,08-08-2026,FRACTMET ENGINEERING LLP,PUNE,PANTNAGAR,0,Pending,,08.08.2026,NA,MH12LT6492,VITTHALWADI,SING ROADLINES,ROAD-EXPRESS,0,Pending
VND-030,SACHIN,08-08-2026,U.S. AUTO CONTROLS PVT LTD,PUNE,PANTNAGAR,0,Pending,,08.08.2026,NA,MH11BL6889,DEHU/TALWADE,AIRPORT,AIR,0,Pending
VND-031,SACHIN,08-08-2026,SANSA AUTO ENGINEERING COMPANY - PUNE,PUNE,PANTNAGAR,0,Pending,,08.08.2026,NA,MH12LT6492,CHINCHWAD,GODOWN,TRAIN,0,Pending
,,,ASHA INDUSTRIES,AURANGABAD,PANTNAGAR,0,Pending,,,,,GODOWN,STATION,TRAIN,0,Pending
VND-032,SACHIN,09-08-2026,BELRISE INDUSTRIES LTD UNIT -IX,PANTNAGAR,PUNE,0,Pending,DELIVERY,09.08.2026,NA,MH11BL6889,AIRPORT,MAHALUNGE,AIR,0,Pending
