"date","particulars","amount","client","bankname"
"2025-05-27","bank","50000.00","asha industries","ubi"
"2025-08-16","bank","50000.00","asha industries","ubi"
"2025-10-17","bank","40000.00","asha industries","ubi"
"2025-05-26","bank","41816.00","aspee springs limited","ubi"
"2026-06-30","bank","32688.00","aspee springs limited","ubi"
"2025-05-26","tds","760.28","aspee springs limited","ubi"
"2025-06-30","tds","594.33","aspee springs limited","ubi"
"2025-05-24","bank","3545.00","aspee sons","ubi"
"2025-10-16","bank","134456.00","belrise industries ltd,unit-7e","bob"
"2025-11-19","bank","1316948.00","belrise industries ltd,unit-7e","bob"
"2025-11-19","tds","25024.00","belrise industries ltd,unit-7e","bob"
"2025-11-19","debit","9664.00","belrise industries ltd,unit-7e","bob"
"2025-11-19","bank","100104.00","belrise industries ltd unit -ix","bob"
"2025-11-19","tds","1725.00","belrise industries ltd unit -ix","bob"
"2025-11-19","debit","6707.12","belrise industries ltd unit -ix","bob"
"2025-10-16","bank","575546.00","belrise industries ltd,unit-12","bob"
"2025-10-16","tds","9923.00","belrise industries ltd,unit-12","bob"
"2025-10-16","debit","3422.00","belrise industries ltd,unit-12","bob"
"2025-05-15","bank","26620.00","cj darcl logistics limited","ubi"
"2025-06-16","bank","23870.00","cj darcl logistics limited","ubi"
"2025-07-14","bank","3630.00","cj darcl logistics limited","ubi"
"2025-08-13","bank","65656.00","cj darcl logistics limited","ubi"
"2025-09-29","bank","33756.00","cj darcl logistics limited","ubi"
"2025-10-14","bank","3016.00","cj darcl logistics limited","ubi"
"2026-01-06","bank","52896.00","cj darcl logistics limited","ubi"
"2026-01-06","tds","4260.00","cj darcl logistics limited","ubi"
"2025-06-16","cash","2952.00","cj darcl logistics limited","ubi"
"2025-05-30","bank","34602.00","dali samir engg.pvt ltd-pune","ubi"
"2025-06-23","bank","12540.00","dali samir engg.pvt ltd-pune","ubi"
"2025-09-01","bank","119775.00","dali samir engg.pvt ltd-pune","ubi"
"2025-09-30","bank","117110.00","dali samir engg.pvt ltd-pune","ubi"
"2025-10-17","bank","91366.00","dali samir engg.pvt ltd-pune","ubi"
"2025-11-28","bank","135544.00","dali samir engg.pvt ltd-pune","ubi"
"2026-01-14","tds","10868.00","dali samir engg.pvt ltd-pune","ubi"
"2025-04-01","b/f","-105518.00","himalayan auto era pvt ltd","ubi"
"2025-08-06","bank","213352.80","himalayan auto era pvt ltd","ubi"
"2025-10-30","bank","224733.30","himalayan auto era pvt ltd","ubi"
"2025-12-12","bank","199507.00","himalayan auto era pvt ltd","ubi"
"2025-07-21","bank","21512.00","precifast private limited","ubi"
"2025-12-17","bank","26904.00","precifast private limited","ubi"
"2025-08-27","bank","76966.00","singla forging pvt ltd- rtq","ubi"
"2026-01-14","tds","2615.00","singla forging pvt ltd- rtq","ubi"
"2025-07-16","bank","63868.00","starways industries (si)","ubi"
"2025-07-02","bank","12611.00","starways industries- chakan","ubi"
"2025-07-11","bank","199338.00","starways industries- chakan","ubi"
"2025-07-29","bank","217907.00","starways industries- chakan","ubi"
"2025-09-16","bank","47779.00","starways industries- chakan","ubi"
"2025-08-11","bank","652525.00","starways precisions pvt. ltd.","ubi"
"2025-08-14","bank","92055.00","starways precisions pvt. ltd.","ubi"
"2025-09-06","bank","280141.00","starways precisions pvt. ltd.","ubi"
"2025-10-24","bank","420390.00","starways precisions pvt. ltd.","ubi"
"2025-10-29","bank","152655.00","starways precisions pvt. ltd.","ubi"
"2025-12-26","bank","98747.00","starways precisions pvt. ltd.","ubi"
"2025-12-26","bank","112114.00","starways precisions pvt. ltd.","ubi"
"2025-05-14","bank","100000.00","u. s. auto controls pvt ltd","ubi"
"2025-06-17","bank","100000.00","u. s. auto controls pvt ltd","ubi"
"2025-07-19","bank","100000.00","u. s. auto controls pvt ltd","ubi"
"2025-08-04","bank","80000.00","u. s. auto controls pvt ltd","ubi"
"2025-08-29","bank","100000.00","u. s. auto controls pvt ltd","ubi"
"2025-09-19","bank","100000.00","u. s. auto controls pvt ltd","ubi"
"2025-10-17","bank","155222.00","u. s. auto controls pvt ltd","ubi"
"2025-11-15","bank","150000.00","u. s. auto controls pvt ltd","ubi"
"2025-12-18","bank","74441.00","u. s. auto controls pvt ltd","ubi"
"2026-01-14","tds","23336.34","u. s. auto controls pvt ltd","ubi"
"2025-09-15","bank","15399.00","unity industry- pnq","ubi"
"2025-04-01","b/f","-318685.00","shreya industries - pnq","ubi"
"2025-04-03","bank","30736.00","shreya industries - pnq","ubi"
"2025-04-20","bank","20000.00","shreya industries - pnq","ubi"
"2025-04-29","bank","39928.00","shreya industries - pnq","ubi"
"2025-05-07","bank","30000.00","shreya industries - pnq","ubi"
"2025-05-22","bank","34560.00","shreya industries - pnq","ubi"
"2025-06-05","bank","10120.00","shreya industries - pnq","ubi"
"2025-06-05","bank","20000.00","shreya industries - pnq","ubi"
"2025-06-12","bank","30000.00","shreya industries - pnq","ubi"
"2025-06-20","bank","33824.00","shreya industries - pnq","ubi"
"2025-07-02","bank","20000.00","shreya industries - pnq","ubi"
"2025-07-02","bank","10000.00","shreya industries - pnq","ubi"
"2025-07-22","bank","12208.00","shreya industries - pnq","ubi"
"2025-07-22","bank","39248.00","shreya industries - pnq","ubi"
"2025-07-31","bank","40000.00","shreya industries - pnq","ubi"
"2025-08-19","bank","50000.00","shreya industries - pnq","ubi"
"2025-08-28","bank","50000.00","shreya industries - pnq","ubi"
"2025-09-03","bank","50000.00","shreya industries - pnq","ubi"
"2025-09-11","bank","25000.00","shreya industries - pnq","ubi"
"2025-09-11","bank","28470.00","shreya industries - pnq","ubi"
"2025-09-22","bank","53470.00","shreya industries - pnq","ubi"
"2025-09-30","bank","51800.00","shreya industries - pnq","ubi"
"2025-10-09","bank","50478.00","shreya industries - pnq","ubi"
"2025-10-14","bank","108678.00","shreya industries - pnq","ubi"
"2025-10-29","bank","67142.00","shreya industries - pnq","ubi"
"2025-11-05","bank","9352.00","shreya industries - pnq","ubi"
"2025-11-05","bank","11775.00","shreya industries - pnq","ubi"
"2025-11-05","bank","37408.00","shreya industries - pnq","ubi"
"2025-11-11","bank","67142.00","shreya industries - pnq","ubi"
"2025-11-18","bank","50000.00","shreya industries - pnq","ubi"
"2025-11-26","bank","28470.00","shreya industries - pnq","ubi"
"2025-11-26","bank","50000.00","shreya industries - pnq","ubi"
"2025-12-03","bank","72806.00","shreya industries - pnq","ubi"
"2025-12-09","bank","72806.00","shreya industries - pnq","ubi"
"2025-12-17","bank","28470.00","shreya industries - pnq","ubi"
"2025-12-17","bank","40768.00","shreya industries - pnq","ubi"
"2025-12-17","bank","26904.00","shreya industries - pnq","ubi"
"2025-12-24","bank","78470.00","shreya industries - pnq","ubi"
"2026-01-02","bank","78470.00","shreya industries - pnq","ubi"
"2026-01-06","bank","78470.00","shreya industries - pnq","ubi"
"2025-12-29","bank","340516.00","belrise industries ltd unit -ix","bob"
"2025-12-29","tds","5871.00","belrise industries ltd unit -ix","bob"
"2025-12-29","debit","44075.38","belrise industries ltd unit -ix","bob"
"2025-12-22","bank","672058.00","belrise industries ltd,unit-12","bob"
"2025-12-22","tds","11047.00","belrise industries ltd,unit-12","bob"
"2025-12-22","debit","5664.00","belrise industries ltd,unit-12","bob"
"2026-01-21","bank","74704.00","singla forging pvt ltd- rtq","ubi"
"2026-01-22","bank","34684.00","cj darcl logistics limited","ubi"
"2026-01-14","bank","65968.00","shreya industries - pnq","ubi"
"2026-01-30","bank","68555.00","dali samir engg.pvt ltd-pune","ubi"
"2026-01-14","bank","55160.00","shreya industries - pnq","ubi"
"2026-01-29","bank","100000.00","shreya industries - pnq","ubi"
"2026-03-02","bank","125280.00","dali samir engg.pvt ltd-pune","ubi"
"2026-03-02","tds","2487.00","dali samir engg.pvt ltd-pune","ubi"
"2026-02-28","bank","46168.00","panorama automotive ind. pvt. ltd.","ubi"
"2026-02-28","tds","796.00","panorama automotive ind. pvt. ltd.","ubi"
"2026-02-18","bank","64872.00","u. s. auto controls pvt ltd","ubi"
"2026-02-28","bank","100000.00","starways precisions pvt. ltd.","ubi"
"2026-02-28","bank","300000.00","starways precisions pvt. ltd.","ubi"
"2026-02-06","bank","34232.00","shreya industries - pnq","ubi"
"2026-02-06","bank","10416.00","shreya industries - pnq","ubi"
"2026-02-06","bank","8400.00","shreya industries - pnq","ubi"
"2026-02-13","bank","100000.00","shreya industries - pnq","ubi"
"2026-02-21","bank","33824.00","shreya industries - pnq","ubi"
"2026-02-23","bank","40000.00","shreya industries - pnq","ubi"
"2026-02-23","bank","32214.00","shreya industries - pnq","ubi"
"2026-03-06","bank","39176.00","shreya industries - pnq","ubi"
"2026-03-07","bank","53690.00","shreya industries - pnq","ubi"
"2026-02-25","tds","244.00","cj darcl logistics limited","ubi"
"2026-02-25","bank","14152.00","cj darcl logistics limited","ubi"
"2026-03-11","bank","90665.60","himalayan auto era pvt ltd","ubi"
"2026-02-09","neft","80666.00","belrise industries ltd,unit-7e","bob"
"2026-02-09","tds","1391.00","belrise industries ltd,unit-7e","bob"
"2026-02-09","debit","826.00","belrise industries ltd,unit-7e","bob"
"2026-03-24","neft","45704.00","cj darcl logistics limited","ubi"
"2026-03-24","tds","788.00","cj darcl logistics limited","ubi"
"2026-04-14","neft","25404.00","cj darcl logistics limited","ubi"
"2026-04-14","tds","438.00","cj darcl logistics limited","ubi"
"2026-03-28","neft","58754.00","dali samir engg.pvt ltd-pune","ubi"
"2026-04-13","neft","183054.96","himalayan auto era pvt ltd","ubi"
"2026-03-20","neft","61537.00","shreya industries - pnq","ubi"
"2026-04-03","neft","53454.00","shreya industries - pnq","ubi"
"2026-04-03","neft","58764.00","shreya industries - pnq","ubi"
"2026-04-04","neft","12331.00","starways industries (si)","ubi"
"2026-06-20","neft","82788.00","u. s. auto controls pvt ltd","ubi"
"2026-05-22","neft","85434.00","singla forging pvt ltd- rtq","ubi"
"2026-05-22","tds","1473.00","singla forging pvt ltd- rtq","ubi"
"2026-04-16","neft","168888.00","starways industries- chakan","ubi"
"2026-03-23","neft","500000.00","starways precisions pvt. ltd.","ubi"
"2026-03-27","neft","106348.00","starways precisions pvt. ltd.","ubi"
"2026-03-17","neft","107236.00","u. s. auto controls pvt ltd","ubi"
"2026-05-11","neft","30000.00","asha industries","ubi"
"2026-07-17","neft","60000.00","u. s. auto controls pvt ltd","ubi"
"2026-06-24","neft","860574.00","starways industries- chakan","ubi"
"2026-06-24","neft","421496.00","starways precisions pvt. ltd.","ubi"
"2026-07-21","tds","540.00","belrise industries ltd,unit-12","ubi"
"2026-07-21","debit","1416.00","belrise industries ltd,unit-12","ubi"
"2026-04-21","neft","94702.00","u. s. auto controls pvt ltd","ubi"
"2026-05-26","neft","175218.00","himalayan auto era pvt ltd","ubi"
"2026-04-27","neft","18644.00","himalayan auto era pvt ltd","ubi"
"2026-06-04","neft","11278.00","mantri metallics pvt ltd- ptn","ubi"
"2026-06-04","tds","215.00","mantri metallics pvt ltd- ptn","ubi"
"2026-05-27","neft","89225.00","u. s. auto controls pvt ltd","ubi"
"2026-06-22","neft","4720.00","shiv tempo service","bob"
"2026-05-19","neft","34452.00","cj darcl logistics limited","ubi"
"2026-05-19","tds","594.00","cj darcl logistics limited","ubi"
"2026-06-18","neft","27492.00","cj darcl logistics limited","ubi"
"2026-06-18","tds","474.00","cj darcl logistics limited","ubi"
"2026-07-18","neft","18560.00","cj darcl logistics limited","ubi"
"2026-07-18","tds","320.00","cj darcl logistics limited","ubi"
"2026-05-29","neft","42746.00","dali samir engg.pvt ltd-pune","ubi"
"2026-05-29","tds","734.00","dali samir engg.pvt ltd-pune","ubi"
"2026-06-30","neft","70006.00","dali samir engg.pvt ltd-pune","ubi"
"2026-06-30","tds","1210.00","dali samir engg.pvt ltd-pune","ubi"
"2026-07-13","neft","168287.00","himalayan auto era pvt ltd","ubi"
"2026-06-04","debit","1180.20","mantri metallics pvt ltd- ptn","ubi"
