awb,date,mode,client,origin,destination,consignor,consignee,box,actual_wt,charge_wt,type_of_delivery,insured,remarks,clerk_name,status,frieght_charge,awb_charge,pickup_charge,delivery_charge,packaging_charge,handling_charge
203992,05-01-2026,road,cj darcl logistics limited,delhi,pantnagar,cj darcl logistics limited,cj darcl logistics limited,6,0,0,auto parts ,owner,,akash,1,0,0,0,0,0,0
203989,02-01-2026,road,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,40,0,40,auto parts,owner,,dharmendra puri,1,0,0,0,0,0,0
203991,03-01-2026,train,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),2,50,100,auto parts,owner,material delivered,dharmendra puri,1,0,0,0,0,0,0
204018,13-01-2026,train,panorama automotive ind. pvt. ltd.,pune,pantnagar,rk industries ,panorama automotive ind. pvt. ltd.,4,0,120,auto parts ,owner,vs engeneering/ rk industries ,dharmendra puri,1,0,0,0,0,0,0
204002,07-01-2026,train,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),16,0,335,auto parts ,owner,,admin,1,0,0,0,0,0,0
204026,14-01-2026,air,starways precisions pvt. ltd. ,pune,sitarganj,starways precisions pvt. ltd. ,starways industries (si),5,0,105,auto parts,client,,admin,1,0,0,0,0,0,0
204025,14-01-2026,train,dali samir engg.pvt ltd-pune,pune,pantnagar,sansa auto engineering company - pune,dali samir engg.pvt ltd-pune,6,0,150,auto parts,owner,,akash,1,0,0,0,0,0,0
203993,05-01-2026,air,dali samir engg.pvt ltd-pune,pune,pantnagar,premier seals pvt ltd,dali & samir engg pvt ltd- ptn,1,0,50,auto parts,owner,,akash,1,0,0,0,0,0,0
203994,05-01-2026,air,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,24,0,960,auto parts,owner,,admin,1,0,0,0,0,0,0
203995,05-01-2026,road,cj darcl logistics limited,pantnagar,delhi,cj darcl logistics limited,cj darcl logistics limited,40,0,0,auto parts,owner,,akash,1,0,0,0,0,0,0
203996,06-01-2026,train,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),5,0,120,auto parts,owner,,admin,1,0,0,0,0,0,0
203997,06-01-2026,air,starways industries- chakan,pune,sitarganj,starways industries- chakan,starways industries (si),1,0,50,auto parts,owner,,akash,1,0,0,0,0,0,0
203998,06-01-2026,air,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,24,0,960,auto parts,owner,,admin,1,0,0,0,0,0,0
203999,07-01-2026,road,shreya industries - pnq,pune,pantnagar,shreya industries - pnq,shreya industries- pnt,24,0,24,auto parts,owner,,akash,1,0,0,0,0,0,0
204000,07-01-2026,air,u. s. auto controls pvt ltd,pune,pantnagar,u. s. auto controls pvt ltd,belrise industries ltd unit -ix,2,0,60,auto parts,owner,,admin,1,0,0,0,0,0,0
204001,07-01-2026,air,starways precisions pvt. ltd.,pune,sitarganj,starways precisions pvt. ltd.,starways industries (si),1,0,50,auto parts,owner,,akash,1,0,0,0,0,0,0
