awb,invdate,value,invoice,part,eway,quantity
204031,16-01-2026,639121.51,4560065312,DOC-S-6694-00,362168541004,0
204042,20-01-2026,593.4,7772,PLATE B773,NA,400
204078,30-01-2026,1059146.76,4560066133,544247510101,362177837121,5000
204078,30-01-2026,125911.15,4560066134,544247510244,332177842915,938
204084,31-01-2026,26337.6,SP/2526/62435,JF181473,212130200395,500
204094,03-02-2026,155889.99,4560066357,544247510244,392180688122,3072
204129,10-02-2026,80782.38,4560066798,542547510107,NA,8000
204141,13-02-2026,1059146.76,4560067006,544247510101,Na,240
204141,13-02-2026,245826.54,4560067005,544247510244,Na
204143,14-02-2026,1588720.14,4560067070,544247510101,Na,4600
204143,14-02-2026,341758.82,4560067069,544247510244,Na,3000
204165,19-02-2026,903000,GSAAC5/3380,MPM/2526017,672062347850,1273
204290,19-03-2026,8421,91244390,556432100133,252163626940,2800
204295,19-03-2026,25266.87,256650171801,JE591440/1903,362211802209,5000
204334,27-03-2026,40298.71,256650176057,DH103960/DH103967,392217820754,8100
204367,31-03-2026,NA,10740,NA,NA,150
204368,30-03-2026,NA,135663,NA,NA,9000
204368,30-03-2026,NA,122594,NA,NA,565
204414,30-10-2025,0,1003100364,NA,0,8614
204706,22-05-2026,39250.46,7322602509,BOY50348,322256160904,240
204706,22-05-2026,678.55,7322602510,BOY50349,342256161057,240
204706,22-05-2026,1006.42,7322602511,BOY50348,362256203339,2500
204706,22-05-2026,1006.42,7322602512,BOY50349,332256203442,3744
204707,22-05-2026,8938,JME/26-27/2774,RUB000119,0,300
204707,22-05-2026,2980,JME/26-27/2775,RUB000119,0,15000
204742,26-05-2026,60385.32,7322602662,BOY50348,312258734522,2500
204742,26-05-2026,30192.66,7322602663,BOY50349,342258734732,240
204855,10-06-2026,53776.85,263033040564,1800068368/366,322269121592,3500
204856,10-06-2026,23051.55,263033040560,1800068285/31149/01710,352269114137,5820
204857,10-06-2026,3685.14,263033040562,1800068334/335,332269118344,3618
204867,11-06-2026,1331.04,263033041045,1800068349,332269812392,250
204867,11-06-2026,7356.71,263033041034,1800068344/43/40/48,382269799540,250
204867,11-06-2026,9884.39,263033041033,180008334/37/35/39,352269795705,1700
204867,11-06-2026,26459.14,263033041032,1800068285/31149/01710/1719,392269791804
204867,11-06-2026,44814.04,263033041050,1800068368/366,322269817013,15000
204867,11-06-2026,10804.08,263033041097,1800068364,352269906860,260
204873,12-06-2026,56017.55,263033041717,1800068368/366,322270721307,260
204873,12-06-2026,10804.08,263033041716,1800068364,382270720568,1100
204874,12-06-2026,168052.65,263033041718,1800068368/366,352270721377,2650
204882,13-06-2026,3072.72,263033042212,PF111019,392271368795,2000
204883,13-06-2026,9340.88,263033042200,JW111017/PF111019,312271338228,30
204883,13-06-2026,17416.8,263033042198,JV111141/JG111085/JV111019/JA111015,342271333417,12000
204883,13-06-2026,89628.08,263033042202,JV111015/JV111016,342271340318,200
204897,15-06-2026,8452.34,263033042826,1800068348/49/35/39,392272370025,260
204897,15-06-2026,20314.88,263033042822,1800068285/31149/01710,302272365280,200
204897,15-06-2026,7051.68,263033042824,1800068334/44/40,372272367977,260
204898,15-06-2026,4609.08,263033042820,1800068337,332272362839,3000
204899,15-06-2026,48308.26,7322603532,BOY50348,362272439679,3000
204899,15-06-2026,48308.26,7322603532,BOY50349,322272439789,400
204911,16-06-2026,7681.8,263033043352,1800068337,322273081349,120
204912,16-06-2026,26471.53,263033043339,1800001710/19/68334/35,312273067966,4958
204912,16-06-2026,9660.07,263033043340,1800068339/40/43,342273071119,2000
204912,16-06-2026,5275.78,263033043346,1800031149/68285/348/49,352273077941,5880
204916,17-06-2026,40256.88,7322603606,BOY50348,332273520494,260
204916,17-06-2026,40256.88,7322603607,BOY50349,302273520619,0
204929,17-06-2026,20128.44,7322603604,B0Y50348,362273520196,1 NOS
204929,17-06-2026,20128.44,7322603605,B0Y50348,362273520307,260
204932,17-06-2026,4609.08,263033043792,1800068337,392273730976,1885
