"date","vendor","amount","remarks"
"2025-08-22","amishka infotech","7442.00","bank"
"2025-06-20","baba balaknath","15000.00","bank"
"2025-06-18","cj darcl","9733.00","bank"
"2025-08-14","cj darcl","14967.00","bank"
"2025-09-02","cj darcl","14854.00","bank"
"2025-10-31","cj darcl","7317.00","bank"
"2025-11-17","cj darcl","13277.00","bank"
"2025-12-23","cj darcl","87629.00","bank"
"2026-01-03","cj darcl","7716.02","credit_note"
"2026-01-03","cj darcl","41510.00","bank"
"2026-01-30","cj darcl","17944.00","bank"
"2026-02-18","cj darcl","27098.00","bank"
"2026-03-02","cj darcl","82396.00","bank"
"2026-03-07","cj darcl","9030.00","bank"
"2026-03-07","btl express pvt ltd","31447.00","bank"
"2026-04-01","btl express pvt ltd","4059.00","bank"
"2025-05-31","hogobie tech private limited","19690.00","bank"
"2025-08-19","hogobie tech private limited","51824.00","bank"
"2025-10-09","hogobie tech private limited","100000.00","bank"
"2025-10-31","hogobie tech private limited","50000.00","bank"
"2025-11-29","hogobie tech private limited","50000.00","bank"
"2026-03-07","hogobie tech private limited","25000.00","bank"
"2025-09-04","kumar autowheels pvt ltd","3332.00","cash"
"2025-07-08","shiptrust global logistics","57440.00","bank"
"2025-05-31","singh roadlines","19300.00","bank"
"2025-06-18","singh roadlines","28950.00","bank"
"2025-06-25","singh roadlines","19300.00","bank"
"2025-07-14","singh roadlines","26238.00","bank"
"2025-08-02","singh roadlines","41613.00","bank"
"2025-08-22","singh roadlines","27610.00","bank"
"2025-09-02","singh roadlines","18870.00","bank"
"2025-09-08","singh roadlines","18870.00","bank"
"2025-09-20","singh roadlines","38590.00","bank"
"2025-10-17","singh roadlines","43910.00","bank"
"2025-10-31","singh roadlines","69890.00","bank"
"2025-11-27","singh roadlines","79610.00","bank"
"2025-12-22","singh roadlines","109760.00","bank"
"2026-01-03","singh roadlines","34090.00","bank"
"2026-01-16","singh roadlines","74668.00","bank"
"2026-01-30","singh roadlines","41810.00","bank"
"2026-02-18","singh roadlines","42000.00","bank"
"2026-03-02","singh roadlines","84910.00","bank"
"2026-03-07","singh roadlines","37740.00","bank"
"2025-05-02","srls cargo services pvt ltd","6895.00","bank"
"2025-05-31","srls cargo services pvt ltd","1971.00","bank"
"2025-05-03","sky 4 logistics","100000.00","bank"
"2025-05-09","sky 4 logistics","50000.00","bank"
"2025-05-17","sky 4 logistics","75000.00","bank"
"2025-05-19","sky 4 logistics","100000.00","cash"
"2025-06-10","sky 4 logistics","99998.00","bank"
"2025-06-13","sky 4 logistics","150000.00","bank"
"2025-06-14","sky 4 logistics","95000.00","bank"
"2025-07-02","sky 4 logistics","441735.00","bank"
"2025-07-09","sky 4 logistics","100000.00","bank"
"2025-07-19","sky 4 logistics","150000.00","bank"
"2025-07-25","sky 4 logistics","200000.00","bank"
"2025-07-01","sky 4 logistics","32500.00","bank"
"2025-08-06","sky 4 logistics","150000.00","bank"
"2025-08-07","sky 4 logistics","150000.00","bank"
"2025-08-19","sky 4 logistics","263041.00","bank"
"2025-08-29","sky 4 logistics","100000.00","bank"
"2025-08-29","sky 4 logistics","50000.00","bank"
"2025-09-08","sky 4 logistics","150000.00","bank"
"2025-09-19","sky 4 logistics","150000.00","bank"
"2025-09-30","sky 4 logistics","75000.00","bank"
"2025-10-15","sky 4 logistics","102374.00","bank"
"2025-10-16","sky 4 logistics","400000.00","bank"
"2025-10-29","sky 4 logistics","200000.00","bank"
"2025-10-31","sky 4 logistics","250000.00","bank"
"2025-11-15","sky 4 logistics","100000.00","bank"
"2025-11-21","sky 4 logistics","750000.00","bank"
"2025-12-06","sky 4 logistics","50000.00","bank"
"2025-12-18","sky 4 logistics","250000.00","bank"
"2026-01-14","sky 4 logistics","250000.00","bank"
"2026-01-31","sky 4 logistics","150000.00","bank"
"2026-02-23","sky 4 logistics","100000.00","bank"
"2026-03-02","sky 4 logistics","150000.00","bank"
"2025-07-24","prime roadways","56431.00","bank"
"2025-08-02","prime roadways","50000.00","bank"
"2026-03-24","sky 4 logistics","250000.00","bank"
"2026-05-07","btl express pvt ltd","73328.00","bank"
"2026-05-07","singh roadlines","76820.00","bank"
"2026-05-27","vedant energy solutions","22285.00","bank"
"2026-06-06","sky 4 logistics","250000.00","bank"
"2026-04-21","sky 4 logistics","225000.00","bank"
"2026-06-04","shri swamijee train carriers pvt ltd","10638.00","bank"
"2026-04-18","btl express pvt ltd","29819.00","bank"
"2026-06-15","btl express pvt ltd","28645.00","bank"
"2026-06-29","btl express pvt ltd","28309.00","bank"
"2026-07-02","btl express pvt ltd","117994.00","bank"
"2026-04-07","cj darcl","33878.00","bank"
"2026-04-18","hogobie tech private limited","50000.00","bank"
"2026-07-02","hogobie tech private limited","75418.00","bank"
"2026-02-11","kumar autowheels pvt ltd","15623.00","cash"
"2026-07-15","shri swamijee train carriers pvt ltd","12272.00","bank"
"2026-05-21","singh roadlines","34810.00","bank"
"2026-06-01","singh roadlines","58050.00","bank"
"2026-06-15","singh roadlines","87402.00","bank"
"2026-06-22","singh roadlines","57026.00","bank"
"2026-06-29","singh roadlines","65434.00","bank"
"2026-03-21","singh roadlines","61150.00","bank"
"2026-04-07","singh roadlines","117630.00","bank"
"2026-04-18","singh roadlines","33320.00","bank"
"2026-06-25","sky 4 logistics","500000.00","bank"
"2026-05-31","sky 4 logistics","146373.10","debit"
"2026-07-24","sky 4 logistics","327751.00","bank"
